Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Characteristics[disease]	characteristics[biological replicate]	Characteristics[cell line]	characteristics[individual]	assay name	comment[label]	comment[technich replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[data file]	Material Type	factor value[cell line]	sampleChecksum	sampleAccession
PXD008222-Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 21	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01556.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01556.raw	cell	MDAMB231	06c689e570556a9221cf8ffcea7b6a514741fee6791c3aefa539c49493373bf0	SAMEA7713384
PXD008222-Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 22	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01557.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01557.raw	cell	MDAMB231	06c689e570556a9221cf8ffcea7b6a514741fee6791c3aefa539c49493373bf0	SAMEA7713384
PXD008222-Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 23	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01558.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01558.raw	cell	MDAMB231	06c689e570556a9221cf8ffcea7b6a514741fee6791c3aefa539c49493373bf0	SAMEA7713384
PXD008222-Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 24	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01559.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01559.raw	cell	MDAMB231	06c689e570556a9221cf8ffcea7b6a514741fee6791c3aefa539c49493373bf0	SAMEA7713384
PXD008222-Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 25	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01560.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01560.raw	cell	MDAMB231	06c689e570556a9221cf8ffcea7b6a514741fee6791c3aefa539c49493373bf0	SAMEA7713384
PXD008222-Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 26	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01566.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01566.raw	cell	MDAMB453	7f4f4e1883eb787f6c90348b6dde1e07f0a288acb2147de9965553554e9730f6	SAMEA7713385
PXD008222-Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 27	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01567.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01567.raw	cell	MDAMB453	7f4f4e1883eb787f6c90348b6dde1e07f0a288acb2147de9965553554e9730f6	SAMEA7713385
PXD008222-Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 28	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01568.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01568.raw	cell	MDAMB453	7f4f4e1883eb787f6c90348b6dde1e07f0a288acb2147de9965553554e9730f6	SAMEA7713385
PXD008222-Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 29	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01569.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01569.raw	cell	MDAMB453	7f4f4e1883eb787f6c90348b6dde1e07f0a288acb2147de9965553554e9730f6	SAMEA7713385
PXD008222-Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 30	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01570.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01570.raw	cell	MDAMB453	7f4f4e1883eb787f6c90348b6dde1e07f0a288acb2147de9965553554e9730f6	SAMEA7713385
