Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[organism part]	sampleChecksum	sampleAccession
PXD020192-Sample 59	Homo sapiens	thyroid	not applicable	not applicable	adult	none	not available	not available	not available	1	run 59	S59_Thyroid_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S59_Thyroid_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	thyroid	b9e5bcdaec12ca465152944ef53c22d7357a16864cf7a0a8150ce6b59974820a	SAMEA7714888
PXD020192-Sample 60	Homo sapiens	thyroid	not applicable	not applicable	adult	none	not available	not available	not available	2	run 60	S60_Thyroid_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S60_Thyroid_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	thyroid	9b67d8281e66267b96ca83552e08d83e7cbe9083df8f6c17fc738ce305ac437a	SAMEA7714889
PXD020192-Sample 61	Homo sapiens	pancreas	not applicable	not applicable	adult	none	not available	not available	not available	1	run 61	S61_Pancreas_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S61_Pancreas_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	pancreas	2ec06fd50e8fb4c283ebf0a6f7cb061caea53a5e81b70f6193ab6f3fa2c4c3ae	SAMEA7714890
PXD020192-Sample 62	Homo sapiens	pancreas	not applicable	not applicable	adult	none	not available	not available	not available	2	run 62	S62_Pancreas_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S62_Pancreas_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	pancreas	7b9fda46baa0938ee97d50ca0050fbda7c63097113113bc434503882637370a4	SAMEA7714891
PXD020192-Sample 63	Homo sapiens	adipose	not applicable	not applicable	adult	none	not available	not available	not available	1	run 63	S63_AdiposeTissue_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S63_AdiposeTissue_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	adipose	75618d123c7c0db15c512fd6d1c024d450a8767166698f4ebf19324cbca0f518	SAMEA7714892
PXD020192-Sample 64	Homo sapiens	adipose	not applicable	not applicable	adult	none	not available	not available	not available	2	run 64	S64_AdiposeTissue_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S64_AdiposeTissue_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	adipose	a32d5c8c49a2373d805629a14dc7aacb54d849592643a77418318140872c95c8	SAMEA7714893
PXD020192-Sample 65	Homo sapiens	lymph node	not applicable	not applicable	adult	none	not available	not available	not available	1	run 65	S65_LymphNode_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S65_LymphNode_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	lymph node	18649fc17401cd3ac3c40ac0a39de8018969870924053ec094f6f5635ad767a6	SAMEA7714894
PXD020192-Sample 66	Homo sapiens	lymph node	not applicable	not applicable	adult	none	not available	not available	not available	2	run 66	S66_LymphNode_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S66_LymphNode_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	lymph node	1c5c6c52cd68a973a5d44152e6113902847121981a1864d73cd12d34639d230e	SAMEA7714895
PXD020192-Sample 67	Homo sapiens	salivary gland	not applicable	not applicable	adult	none	not available	not available	not available	1	run 67	S67_SalivaryGland_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S67_SalivaryGland_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	salivary gland	38786fea7310707df983ed0d36a495db501b996f3d4a8fd1f56bd39880fdc178	SAMEA7714896
PXD020192-Sample 68	Homo sapiens	salivary gland	not applicable	not applicable	adult	none	not available	not available	not available	2	run 68	S68_SalivaryGland_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S68_SalivaryGland_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	salivary gland	c05903fa3a55438a47479fcf67260edb8ad1be5fff8cc6264cd19bb2394c55e8	SAMEA7714897
PXD020192-Sample 69	Homo sapiens	skeletal muscle	not applicable	not applicable	adult	none	not available	not available	not available	1	run 69	S69_SkeletalMuscle_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S69_SkeletalMuscle_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	skeletal muscle	260f70c9755f40dd369602888f538a00132eac2105b3a6b95f520e44ca30c518	SAMEA7714898
PXD020192-Sample 70	Homo sapiens	skeletal muscle	not applicable	not applicable	adult	none	not available	not available	not available	2	run 70	S70_SkeletalMuscle_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S70_SkeletalMuscle_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	skeletal muscle	d1efafb59e5c58af22ac4597dd724b748ed76a85c9d4022802b20a3f7bb7605d	SAMEA7714899
PXD020192-Sample 71	Homo sapiens	prostate	not applicable	not applicable	adult	none	not available	not available	not available	1	run 71	S71_Prostate_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S71_Prostate_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	prostate	4dee1069cf51749cfbc621f60484b351e2178a9f149793ec61297ba23cceb42e	SAMEA7714900
PXD020192-Sample 72	Homo sapiens	prostate	not applicable	not applicable	adult	none	not available	not available	not available	2	run 72	S72_Prostate_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S72_Prostate_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	prostate	9f65b84ea181918ed056c835250eaddf568e58899d3210deb82d4effc54f5038	SAMEA7714901
PXD020192-Sample 73	Homo sapiens	Seminal Vesicle	not applicable	not applicable	adult	none	not available	not available	not available	1	run 73	S73_SeminalVesicle_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S73_SeminalVesicle_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Seminal Vesicle	4de2d9ea97444194eeb8c058054012ff5710bbacbca174bf4ebda3fda0d1fef4	SAMEA7714902
PXD020192-Sample 74	Homo sapiens	Seminal Vesicle	not applicable	not applicable	adult	none	not available	not available	not available	2	run 74	S74_SeminalVesicle_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S74_SeminalVesicle_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Seminal Vesicle	c30e1f03d6e9e7607ecb3f00bd14fb12228d167c81f72a87b23556cc9ea4c27b	SAMEA7714903
PXD020192-Sample 75	Homo sapiens	testis	not applicable	not applicable	adult	none	not available	not available	not available	1	run 75	S75_Testis_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S75_Testis_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	testis	31f3ca9b56cc90116958f0ec8650621f9abaa9fba8e9356d5223c10665fae885	SAMEA7714904
PXD020192-Sample 76	Homo sapiens	testis	not applicable	not applicable	adult	none	not available	not available	not available	2	run 76	S76_Testis_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S76_Testis_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	testis	6566eec613010d2f09841e01f4c175f5dca8a37530a5aa5f1c45e65059a08402	SAMEA7714905
PXD020192-Sample 77	Homo sapiens	epidymis	not applicable	not applicable	adult	none	not available	not available	not available	1	run 77	S77_Epidymis_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S77_Epidymis_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	epidymis	49dda11c96b68661e8f0c330d762b1a98468b743421d8f45390ac1595225ac7e	SAMEA7714906
PXD020192-Sample 78	Homo sapiens	epidymis	not applicable	not applicable	adult	none	not available	not available	not available	2	run 78	S78_Epidymis_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S78_Epidymis_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	epidymis	69a936b1193cd98f1df37313776482eece6be6d81dd4cfc6b9e26ef689aa7027	SAMEA7714907
